"timeout 3 /home/chris/NIST/argus/src/argus-clients-3.0.8.2/bin/ra -r /home/chris/NIST/argus/testcases/id:000392,sync:fuzz02,src:000409,+cov",ERROR,LeakSanitizer: detected memory leaks, Direct leak of 18 byte(s) in 1 object(s) allocated from:,0x7f7792255189,__GI___strdup,/usr/lib/libc.so.6+0x80189)
"timeout 3 /home/chris/NIST/argus/src/argus-clients-3.0.8.2/bin/ra -r /home/chris/NIST/argus/testcases/id:000501,src:000010+000206,op:splice,rep:32,+cov",ERROR,LeakSanitizer: detected memory leaks, Direct leak of 18 byte(s) in 1 object(s) allocated from:,0x7f579573a189,__GI___strdup,/usr/lib/libc.so.6+0x80189)
"timeout 3 /home/chris/NIST/argus/src/argus-clients-3.0.8.2/bin/ra -r /home/chris/NIST/argus/testcases/id:000355,sync:fuzz03,src:000330,+cov",ERROR,AddressSanitizer: stack-buffer-overflow on address 0x7ffc211a4b5f at pc 0x0000004405c0 bp 0x7ffc211a43d0 sp 0x7ffc211a43c0, READ of size 1 at 0x7ffc211a4b5f thread T0,0x4405bf,ArgusPrintEspSpi,argus_util.c:8434,0x448b74,ArgusPrintDstPort,argus_util.c:8159,0x46aa96,ArgusPrintRecord,argus_util.c:4232,0x406a54,RaProcessThisRecord,ra.c:477,0x407f84,RaProcessRecord,ra.c:382,0x461608,RaScheduleRecord,argus_util.c:2694,0x4748e0,ArgusHandleRecord,argus_util.c:2808,0x4bffcb,ArgusReadStreamSocket,argus_client.c:440,0x4c01a9,ArgusReadFileStream,argus_client.c:496,0x4088ce,main,argus_main.c:253,0x7f160c77a290,__libc_start_main,/usr/lib/libc.so.6+0x20290),0x404489,_start,/home/chris/NIST/argus/src/argus-clients-3.0.8.2/bin/ra+0x404489)
"timeout 3 /home/chris/NIST/argus/src/argus-clients-3.0.8.2/bin/ra -r /home/chris/NIST/argus/testcases/id:000355,sync:fuzz03,src:000330,+cov",ERROR,AddressSanitizer: stack-buffer-overflow on address 0x7ffc211a4b5f at pc 0x0000004405c0 bp 0x7ffc211a43d0 sp 0x7ffc211a43c0, Address 0x7ffc211a4b5f is located in stack of thread T0 at offset 1439 in frame,0x4698be,ArgusPrintRecord,argus_util.c:4137
"timeout 3 /home/chris/NIST/argus/src/argus-clients-3.0.8.2/bin/ra -r /home/chris/NIST/argus/testcases/id:000554,sync:fuzz03,src:000472",ERROR,AddressSanitizer: stack-buffer-overflow on address 0x7ffc4bb6e57f at pc 0x0000004405c0 bp 0x7ffc4bb6ddf0 sp 0x7ffc4bb6dde0, READ of size 1 at 0x7ffc4bb6e57f thread T0,0x4405bf,ArgusPrintEspSpi,argus_util.c:8434,0x448b74,ArgusPrintDstPort,argus_util.c:8159,0x46aa96,ArgusPrintRecord,argus_util.c:4232,0x406a54,RaProcessThisRecord,ra.c:477,0x407f84,RaProcessRecord,ra.c:382,0x461608,RaScheduleRecord,argus_util.c:2694,0x4748e0,ArgusHandleRecord,argus_util.c:2808,0x4bffcb,ArgusReadStreamSocket,argus_client.c:440,0x4c01a9,ArgusReadFileStream,argus_client.c:496,0x4088ce,main,argus_main.c:253,0x7f445d2ac290,__libc_start_main,/usr/lib/libc.so.6+0x20290),0x404489,_start,/home/chris/NIST/argus/src/argus-clients-3.0.8.2/bin/ra+0x404489)
"timeout 3 /home/chris/NIST/argus/src/argus-clients-3.0.8.2/bin/ra -r /home/chris/NIST/argus/testcases/id:000554,sync:fuzz03,src:000472",ERROR,AddressSanitizer: stack-buffer-overflow on address 0x7ffc4bb6e57f at pc 0x0000004405c0 bp 0x7ffc4bb6ddf0 sp 0x7ffc4bb6dde0, Address 0x7ffc4bb6e57f is located in stack of thread T0 at offset 1439 in frame,0x4698be,ArgusPrintRecord,argus_util.c:4137
"timeout 3 /home/chris/NIST/argus/src/argus-clients-3.0.8.2/bin/ra -r /home/chris/NIST/argus/testcases/id:000346,sync:fuzz03,src:000392,+cov",ERROR,LeakSanitizer: detected memory leaks, Direct leak of 18 byte(s) in 1 object(s) allocated from:,0x7f0a16c50189,__GI___strdup,/usr/lib/libc.so.6+0x80189)
"timeout 3 /home/chris/NIST/argus/src/argus-clients-3.0.8.2/bin/ra -r /home/chris/NIST/argus/testcases/id:000277,src:000005,op:havoc,rep:16,+cov",ERROR,AddressSanitizer: stack-buffer-overflow on address 0x7ffe324c538f at pc 0x0000004405c0 bp 0x7ffe324c4c00 sp 0x7ffe324c4bf0, READ of size 1 at 0x7ffe324c538f thread T0,0x4405bf,ArgusPrintEspSpi,argus_util.c:8434,0x448b74,ArgusPrintDstPort,argus_util.c:8159,0x46aa96,ArgusPrintRecord,argus_util.c:4232,0x406a54,RaProcessThisRecord,ra.c:477,0x407f84,RaProcessRecord,ra.c:382,0x461608,RaScheduleRecord,argus_util.c:2694,0x4748e0,ArgusHandleRecord,argus_util.c:2808,0x4bffcb,ArgusReadStreamSocket,argus_client.c:440,0x4c01a9,ArgusReadFileStream,argus_client.c:496,0x4088ce,main,argus_main.c:253,0x7f75e3886290,__libc_start_main,/usr/lib/libc.so.6+0x20290),0x404489,_start,/home/chris/NIST/argus/src/argus-clients-3.0.8.2/bin/ra+0x404489)
"timeout 3 /home/chris/NIST/argus/src/argus-clients-3.0.8.2/bin/ra -r /home/chris/NIST/argus/testcases/id:000277,src:000005,op:havoc,rep:16,+cov",ERROR,AddressSanitizer: stack-buffer-overflow on address 0x7ffe324c538f at pc 0x0000004405c0 bp 0x7ffe324c4c00 sp 0x7ffe324c4bf0, Address 0x7ffe324c538f is located in stack of thread T0 at offset 1439 in frame,0x4698be,ArgusPrintRecord,argus_util.c:4137
"timeout 3 /home/chris/NIST/argus/src/argus-clients-3.0.8.2/bin/ra -r /home/chris/NIST/argus/testcases/id:000504,src:000017,op:havoc,rep:2,+cov",ERROR,LeakSanitizer: detected memory leaks, Direct leak of 18 byte(s) in 1 object(s) allocated from:,0x7febe8930189,__GI___strdup,/usr/lib/libc.so.6+0x80189)
"timeout 3 /home/chris/NIST/argus/src/argus-clients-3.0.8.2/bin/ra -r /home/chris/NIST/argus/testcases/id:000252,src:000004,op:havoc,rep:16,+cov",ERROR,AddressSanitizer: stack-buffer-overflow on address 0x7fffe8716b2f at pc 0x0000004405c0 bp 0x7fffe87163a0 sp 0x7fffe8716390, READ of size 1 at 0x7fffe8716b2f thread T0,0x4405bf,ArgusPrintEspSpi,argus_util.c:8434,0x448b74,ArgusPrintDstPort,argus_util.c:8159,0x46aa96,ArgusPrintRecord,argus_util.c:4232,0x406a54,RaProcessThisRecord,ra.c:477,0x407f84,RaProcessRecord,ra.c:382,0x461608,RaScheduleRecord,argus_util.c:2694,0x4748e0,ArgusHandleRecord,argus_util.c:2808,0x4bffcb,ArgusReadStreamSocket,argus_client.c:440,0x4c01a9,ArgusReadFileStream,argus_client.c:496,0x4088ce,main,argus_main.c:253,0x7f679c3d0290,__libc_start_main,/usr/lib/libc.so.6+0x20290),0x404489,_start,/home/chris/NIST/argus/src/argus-clients-3.0.8.2/bin/ra+0x404489)
